dataset,seed,loss,epoch,train_loss,val_loss
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,3,1.0821484981840737,1.0871089696884155
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,4,1.04379791734886,1.050157236538345
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,5,0.9960734856010663,1.0274004687508234
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,6,0.9617815484987734,1.0099208106239923
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,7,0.9288974500904204,1.0037593832976526
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,8,0.9017629062238842,0.9969304937252895
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,9,0.8743088560851172,0.9967866407023916
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,10,0.8459745508716731,0.9887477579734308
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,11,0.8240504727827118,0.980895761105654
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,12,0.7959539776015775,0.975910539249722
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,13,0.7707670614270881,0.9709444354763992
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,14,0.756825706102524,0.9801169539527069
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,15,0.7320119051328122,0.964977352739238
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,16,0.7099350129130936,0.9642915597064889
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,17,0.69077685585331,0.9652245061860668
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,18,0.6730030050264834,0.9662685857402334
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,19,0.6584684173874121,0.9654344577583478
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,20,0.6441793231466244,0.9649561755091166
CIFAR10_Bird_vs_Frog_ControlledImbalance,101,Weighted BCE,21,0.6277914527941136,0.9659602770702445
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,1,0.4547778215095012,0.43706054138622696
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,2,0.4333599938882781,0.4370071356245082
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,3,0.4331642645742312,0.43699989044409004
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,4,0.4336949249949142,0.43699791448579417
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,5,0.43366194957017257,0.43699722838916366
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,6,0.4354834569455481,0.43699692650664623
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,7,0.43376461505675296,0.43699681673118534
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,8,0.43272108671152304,0.43699678928732016
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,9,0.4333290116514417,0.43699678928732016
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,10,0.4340794149226267,0.43699676184345493
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Soft-F2,11,0.4342693016938966,0.43699676184345493
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,1,1.26647933880345,0.9781865396087975
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,2,0.9620008357573371,0.8825239123200341
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,3,0.8667989976764476,0.8292646476690718
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,4,0.805460760981837,0.8101649005636037
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,5,0.7483459693370479,0.777513628812145
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,6,0.6880488189140169,0.7667072994245899
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,7,0.632698885767874,0.7590681910514832
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,8,0.5877147785829704,0.801518395650301
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,9,0.5534042177384871,0.7596850253695207
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,10,0.508465610276891,0.7424385770619344
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,11,0.4567479866244147,0.7629510580206946
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,12,0.4336865418510969,0.7524188752654645
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,13,0.40800624463495966,0.7611402058772904
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,14,0.37446239542360243,0.7561019315994043
CIFAR10_Bird_vs_Frog_ControlledImbalance,137,Weighted BCE,15,0.35387766385378866,0.7729730164404396
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,1,0.45536843647729375,0.43163137813266234
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,2,0.4351586752598829,0.4315216322596982
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,3,0.4327853967969639,0.43150383491310285
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,4,0.43279334717672435,0.431498634729454
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,5,0.43314593821147024,0.43149672609439
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,6,0.43284550993212917,0.4314959936862369
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,7,0.43390268275160493,0.43149565192435285
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Soft-F2,8,0.43275602399283547,0.4314955112745436
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,1,1.2520680928638022,0.9708611553521465
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,2,0.9406098678882437,0.9012133131781928
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,3,0.8380495323778594,0.8784790352094087
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,4,0.7850414297797463,0.8490355675169032
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,5,0.7344659172018619,0.8156907082461625
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,6,0.6827452365714725,0.8153389074819551
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,7,0.6334583962103142,0.8169270753860474
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,8,0.5819384406859761,0.8080265290445561
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,9,0.5387861451300064,0.8464852211286695
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,10,0.4954522660355864,0.7935182966774316
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,11,0.46389915407186794,0.8095865133854983
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,12,0.42430222984051297,0.925091807361987
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,13,0.397820840109371,0.7840972083935634
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,14,0.3677757466086174,0.8160550289874454
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,15,0.33122202917651805,0.9047498758748281
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,16,0.3036342338331104,0.819535368638073
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,17,0.3134891841456656,1.0801265531306645
CIFAR10_Bird_vs_Frog_ControlledImbalance,211,Weighted BCE,18,0.30015867731251444,0.8482782459087509
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Soft-F2,1,0.4568838054912783,0.4319155074709611
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Soft-F2,2,0.4338201867579126,0.4318865486186185
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Soft-F2,3,0.43389901500044376,0.43188320046706163
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Soft-F2,4,0.4347522748578893,0.4318823497072398
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Soft-F2,5,0.4336166441386933,0.4318820478247224
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Soft-F2,6,0.43533856642342816,0.4318819106053963
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Soft-F2,7,0.4321293189223021,0.4318818831615311
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,1,1.172457954349226,0.9403414983543561
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,2,0.8834273717512857,0.904340402685481
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,3,0.8203899593207344,0.9791903079842492
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,4,0.7969925439003671,0.8896687819803362
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,5,0.7265086639689283,0.8734860214398061
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,6,0.6493353114055149,0.896374401857527
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,7,0.5843807257691769,0.9081451232484776
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,8,0.5535870302270706,0.8819327191483203
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,9,0.5046689583040593,0.8927119991762175
CIFAR10_Bird_vs_Frog_ControlledImbalance,307,Weighted BCE,10,0.48042311363130086,0.9524433488468472
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Soft-F2,1,0.4534766366629854,0.43416080157533826
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Soft-F2,2,0.43319349043225513,0.4341319855168569
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Soft-F2,3,0.43383003193231234,0.4341287471407609
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Soft-F2,4,0.43343102851502,0.4341279238248043
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Soft-F2,5,0.4333295147768771,0.4341276493861521
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Soft-F2,6,0.43451683736941926,0.4341275396106912
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Soft-F2,7,0.43386242558138527,0.43412748472296075
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,1,1.330898450367307,1.1320067807067213
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,2,1.0000360265280297,0.9304851164920724
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,3,0.8758115664888995,0.9059080382902845
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,4,0.8326030951915401,0.9005009707787054
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,5,0.7850009988922991,0.8424995571589299
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,6,0.7341206869920238,0.8318442775191163
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,7,0.6962874710398896,0.8099979265130681
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,8,0.6500908719001859,0.8077292742489053
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,9,0.6003919208403861,0.7954497165817151
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,10,0.5561916021534604,0.7845967253335089
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,11,0.5186677470494776,0.8025787708570631
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,12,0.48550567376946246,0.8406646371745378
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,13,0.46659666635129604,0.8016980054567187
