seed,loss,threshold,Precision_Apis,Recall_Apis,F1_Apis,F1_Bombus,Macro_F1,Accuracy,Precision_Bird,Recall_Bird,F1_Bird,F1_Frog
101,Soft-F2,0.1,0.20822837951301426,1.0,0.344683808200139,0.0,0.1723419041000695,0.20822837951301426,,,,
101,Soft-F2,0.3,0.20822837951301426,1.0,0.344683808200139,0.0,0.1723419041000695,0.20822837951301426,,,,
101,Soft-F2,0.5,0.20822837951301426,1.0,0.344683808200139,0.0,0.1723419041000695,0.20822837951301426,,,,
101,Soft-F2,0.7,0.20822837951301426,1.0,0.344683808200139,0.0,0.1723419041000695,0.20822837951301426,,,,
101,Soft-F2,0.9,0.20822837951301426,1.0,0.344683808200139,0.0,0.1723419041000695,0.20822837951301426,,,,
101,Weighted BCE,0.1,0.20822837951301426,1.0,0.344683808200139,0.0,0.1723419041000695,0.20822837951301426,,,,
101,Weighted BCE,0.3,0.20822837951301426,1.0,0.344683808200139,0.0,0.1723419041000695,0.20822837951301426,,,,
101,Weighted BCE,0.5,0.218970736629667,0.875,0.3502824858757062,0.29571303587051617,0.32299776087311116,0.3240973971452561,,,,
101,Weighted BCE,0.7,0.13333333333333333,0.008064516129032258,0.015209125475285171,0.877772534214252,0.4464908298447686,0.7825356842989085,,,,
101,Weighted BCE,0.9,0.0,0.0,0.0,0.8837863167760075,0.44189315838800375,0.7917716204869857,,,,
73,Soft-F2,0.1,,,,,0.1723419041000695,0.20822837951301426,0.20822837951301426,1.0,0.344683808200139,0.0
73,Soft-F2,0.3,,,,,0.1723419041000695,0.20822837951301426,0.20822837951301426,1.0,0.344683808200139,0.0
73,Soft-F2,0.5,,,,,0.1723419041000695,0.20822837951301426,0.20822837951301426,1.0,0.344683808200139,0.0
73,Soft-F2,0.7,,,,,0.1723419041000695,0.20822837951301426,0.20822837951301426,1.0,0.344683808200139,0.0
73,Soft-F2,0.9,,,,,0.1723419041000695,0.20822837951301426,0.20822837951301426,1.0,0.344683808200139,0.0
73,Weighted BCE,0.1,,,,,0.3658451499915259,0.3669185558354324,0.24495967741935484,0.9798387096774194,0.3919354838709677,0.3397548161120841
73,Weighted BCE,0.3,,,,,0.6300507969872131,0.6649874055415617,0.36915077989601386,0.8588709677419355,0.5163636363636364,0.74373795761079
73,Weighted BCE,0.5,,,,,0.709410944579993,0.7884130982367759,0.4937888198757764,0.6411290322580645,0.5578947368421052,0.8609271523178808
73,Weighted BCE,0.7,,,,,0.6840661303978652,0.8161209068010076,0.5838150289017341,0.40725806451612906,0.47980997624703087,0.8883222845486997
73,Weighted BCE,0.9,,,,,0.54600633356791,0.8035264483627204,0.6521739130434783,0.12096774193548387,0.20408163265306123,0.8879310344827587
