dataset,loss,n_runs,probability_collapse_count,single_class_prediction_count,probability_sd_mean,probability_sd_sd,macro_f1_mean,macro_f1_sd,auc_mean,auc_sd,brier_mean,brier_sd,ece_mean,ece_sd,probability_collapse_rate,single_class_prediction_rate
BeeSpotter,Soft-F2,10,10,10,4.861307091452715e-06,5.851426644591779e-06,0.1723419041000695,0.0,0.5075000855197893,0.00511244001320343,0.7917714813739419,1.222495977566715e-07,0.7917714178311936,2.268807478606327e-07,1.0,1.0
BeeSpotter,Weighted BCE,10,0,0,0.08125823214650155,0.03258434787346193,0.4355210863591104,0.10802761008950551,0.5946689101358055,0.011663557885378543,0.249638156861174,0.017056982235738802,0.2924309645201557,0.02941841715173605,0.0,0.0
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,10,6,10,0.00015651046061293528,0.00022028054837987008,0.1723419041000695,0.0,0.46172690110491565,0.03302013909653577,0.7917716291138703,1.374028090474898e-07,0.7917658447969071,8.231507186000177e-06,0.6,1.0
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,10,0,0,0.25822230279445646,0.04934894679840812,0.7138124444692895,0.018392160683832672,0.8199132829336708,0.01644585075622338,0.1664412156216171,0.029597529044737895,0.1808589401682268,0.060950809127198136,0.0,0.0
