dataset,seed,loss,epoch,train_loss,val_loss
BeeSpotter,42,Soft-F2,1,0.4522220064239605,0.43372775753625004
BeeSpotter,42,Soft-F2,2,0.43232004563085247,0.43372775753625004
BeeSpotter,42,Soft-F2,3,0.43475583520266087,0.43372775753625004
BeeSpotter,42,Soft-F2,4,0.4321204459849614,0.43372775753625004
BeeSpotter,42,Soft-F2,5,0.4342400616187431,0.43372775753625004
BeeSpotter,42,Soft-F2,6,0.4336375349497173,0.43372775753625004
BeeSpotter,42,Weighted BCE,1,1.554769713958033,1.2075985009721715
BeeSpotter,42,Weighted BCE,2,1.1526543659524378,1.207828224134102
BeeSpotter,42,Weighted BCE,3,1.0774529814505556,1.0815417775147254
BeeSpotter,42,Weighted BCE,4,1.01311049903437,1.0787506635240514
BeeSpotter,42,Weighted BCE,5,0.9881682181336877,1.0799499321326935
BeeSpotter,42,Weighted BCE,6,0.945991644979489,1.0817007881274325
BeeSpotter,42,Weighted BCE,7,0.9045094899182702,1.0819651857554484
BeeSpotter,42,Weighted BCE,8,0.8586173684719336,1.0911917514938245
BeeSpotter,42,Weighted BCE,9,0.825186678034888,1.1871896536230184
BeeSpotter,73,Soft-F2,1,0.44942535488161284,0.4331261880106206
BeeSpotter,73,Soft-F2,2,0.4334283486665851,0.43312605079129446
BeeSpotter,73,Soft-F2,3,0.4338304123612377,0.43312605079129446
BeeSpotter,73,Soft-F2,4,0.43266485882277533,0.43312605079129446
BeeSpotter,73,Soft-F2,5,0.4326404982810617,0.43312605079129446
BeeSpotter,73,Soft-F2,6,0.43426850912916454,0.43312605079129446
BeeSpotter,73,Weighted BCE,1,1.355326009376107,1.1815317946372272
BeeSpotter,73,Weighted BCE,2,1.0971595071437228,1.1296917148631254
BeeSpotter,73,Weighted BCE,3,1.0693532030503026,1.097519853989855
BeeSpotter,73,Weighted BCE,4,1.0141179686081936,1.0694041114916903
BeeSpotter,73,Weighted BCE,5,0.9656333423326082,1.040362381249023
BeeSpotter,73,Weighted BCE,6,0.9251820580794079,1.0601158339342625
BeeSpotter,73,Weighted BCE,7,0.8824624618252154,1.0698500708710375
BeeSpotter,73,Weighted BCE,8,0.8234163908997063,1.0386805568667625
BeeSpotter,73,Weighted BCE,9,0.7504693531539395,1.054879874634228
BeeSpotter,73,Weighted BCE,10,0.6795335027894708,1.2179356281705898
BeeSpotter,73,Weighted BCE,11,0.6335896608745805,1.0586756759410283
BeeSpotter,73,Weighted BCE,12,0.5829385575896228,1.1523414155562146
BeeSpotter,73,Weighted BCE,13,0.5190681534023783,1.2178643204325394
BeeSpotter,101,Soft-F2,1,0.4537463110379546,0.4335701941586227
BeeSpotter,101,Soft-F2,2,0.4345007091358264,0.4335702216024879
BeeSpotter,101,Soft-F2,3,0.4343918031341422,0.4335702216024879
BeeSpotter,101,Soft-F2,4,0.4336971004839742,0.4335702216024879
BeeSpotter,101,Soft-F2,5,0.43281119460999484,0.4335702216024879
BeeSpotter,101,Soft-F2,6,0.4331173632833788,0.4335702216024879
BeeSpotter,101,Weighted BCE,1,1.4564131550913346,1.1692287252961302
BeeSpotter,101,Weighted BCE,2,1.114657641208247,1.1150114141779839
BeeSpotter,101,Weighted BCE,3,1.0860157651369042,1.0930279510484324
BeeSpotter,101,Weighted BCE,4,1.068422133916139,1.078734137171464
BeeSpotter,101,Weighted BCE,5,1.0042960833151204,1.1148956105005827
BeeSpotter,101,Weighted BCE,6,0.9387929569376577,1.081578141493763
BeeSpotter,101,Weighted BCE,7,0.8822042998915637,1.0908357625384983
BeeSpotter,101,Weighted BCE,8,0.8432322561365329,1.0995129792810343
BeeSpotter,101,Weighted BCE,9,0.7523868557142847,1.0987123774109984
BeeSpotter,137,Soft-F2,1,0.4542142489168904,0.4369917121722544
BeeSpotter,137,Soft-F2,2,0.4333599458182856,0.4369917121722544
BeeSpotter,137,Soft-F2,3,0.4331642645742312,0.4369917121722544
BeeSpotter,137,Soft-F2,4,0.4336949249949142,0.4369917121722544
BeeSpotter,137,Soft-F2,5,0.43366194957017257,0.4369917121722544
BeeSpotter,137,Soft-F2,6,0.4354834569455481,0.4369917121722544
BeeSpotter,137,Weighted BCE,1,1.398540434270802,1.334302888499747
BeeSpotter,137,Weighted BCE,2,1.1653499193388959,1.0798883523872431
BeeSpotter,137,Weighted BCE,3,1.0434269077814344,1.0920271410358895
BeeSpotter,137,Weighted BCE,4,0.9985528875856545,1.083067002056314
BeeSpotter,137,Weighted BCE,5,0.9359759874541302,1.1126749241094795
BeeSpotter,137,Weighted BCE,6,0.8799191243363114,1.0841053655679278
BeeSpotter,137,Weighted BCE,7,0.7896814163905023,1.1221633283354395
BeeSpotter,211,Soft-F2,1,0.45370151720853885,0.43147944717956105
BeeSpotter,211,Soft-F2,2,0.43515140515635614,0.43147944717956105
BeeSpotter,211,Soft-F2,3,0.4327845384042398,0.43147944717956105
BeeSpotter,211,Soft-F2,4,0.43279286180928844,0.43147944717956105
BeeSpotter,211,Soft-F2,5,0.43314558798723884,0.43147944717956105
BeeSpotter,211,Soft-F2,6,0.4328451734421813,0.43147944717956105
BeeSpotter,211,Weighted BCE,1,1.5214529747795564,1.1491680333940246
BeeSpotter,211,Weighted BCE,2,1.1071482145711176,1.092993864910208
