seed,loss,class,study_label,N,mean_prob_positive_class,median_prob_positive_class,std_prob_positive_class,min_prob_positive_class,max_prob_positive_class
101,Soft-F2,Bombus,0,943,1.0,1.0,5.826734081892937e-07,0.9999839067459106,1.0
101,Soft-F2,Apis,1,248,0.9999991655349731,1.0,1.1390151485102251e-05,0.9998244643211365,1.0
101,Weighted BCE,Bombus,0,943,0.5529813766479492,0.5507906079292297,0.06344953179359436,0.3553696274757385,0.7916557788848877
101,Weighted BCE,Apis,1,248,0.5726729035377502,0.5734403133392334,0.06478531658649445,0.37306278944015503,0.7365819811820984
73,Soft-F2,Frog,0,943,1.0,1.0,3.2112751569002285e-07,0.9999902248382568,1.0
73,Soft-F2,Bird,1,248,0.9999842643737793,1.0,0.0002092055365210399,0.9967461824417114,1.0
73,Weighted BCE,Frog,0,943,0.29022806882858276,0.2224413901567459,0.22413355112075806,0.007202176842838526,0.9815605878829956
73,Weighted BCE,Bird,1,248,0.6005169749259949,0.6225181818008423,0.2505318820476532,0.02889302559196949,0.9838308095932007
