dataset,metric,n_pairs,mean_SoftF2,mean_WeightedBCE,mean_difference_BCE_minus_SoftF2,bootstrap95CI_diff_low,bootstrap95CI_diff_high,wilcoxon_statistic,wilcoxon_p_two_sided
BeeSpotter,F1_Apis,10,0.344683808200139,0.3489226846433224,0.0042388764431833,-0.0093820433920214,0.0153415071216787,18.0,0.375
BeeSpotter,F1_Bombus,10,0.0,0.5221194880748983,0.5221194880748983,0.3926727821815433,0.6435333563827279,0.0,0.001953125
BeeSpotter,Macro_F1,10,0.1723419041000695,0.4355210863591103,0.2631791822590408,0.1979238624357931,0.3226885434188596,0.0,0.001953125
BeeSpotter,Balanced_Accuracy,10,0.5,0.5495275031642322,0.0495275031642322,0.0315795718879348,0.0663164007713885,1.0,0.00390625
BeeSpotter,AUC,10,0.5075000855197894,0.5946689101358054,0.0871688246160161,0.0807247588341942,0.0943870529453015,0.0,0.001953125
BeeSpotter,Average_Precision,10,0.2107679397338326,0.2865730523786097,0.0758051126447771,0.0702995355825522,0.0814468438336555,0.0,0.001953125
BeeSpotter,Brier,10,0.7917714813739419,0.249638156861174,-0.5421333245127679,-0.5520576591668611,-0.5316627929075498,0.0,0.001953125
BeeSpotter,ECE,10,0.7917714178311936,0.2924309645201557,-0.4993404533110379,-0.5166110456649193,-0.4817081969708056,0.0,0.001953125
BeeSpotter,Log_Loss,10,12.59382102602989,0.69279783285964,-11.901023193170248,-11.92613131821893,-11.877695664964458,0.0,0.001953125
BeeSpotter,Prob_SD_All,10,4.861307091452715e-06,0.0812582321465015,0.08125337083941,0.0624285275949716,0.1003366744610037,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,F1_Bird,10,0.344683808200139,0.5637088559713413,0.2190250477712024,0.2063047990053842,0.234614294130905,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,F1_Frog,10,0.0,0.8639160329672377,0.8639160329672377,0.8506507035565818,0.8735688025006844,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,Macro_F1,10,0.1723419041000695,0.7138124444692895,0.54147054036922,0.5305200893511923,0.5522292392775606,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,Balanced_Accuracy,10,0.5,0.7374046454349538,0.2374046454349537,0.2265882200766257,0.2496573328943317,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,AUC,10,0.4617269011049157,0.8199132829336708,0.3581863818287552,0.3366390722813259,0.3843676880580166,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,Average_Precision,10,0.1961414723902324,0.5694304925172828,0.3732890201270504,0.354154276341628,0.3961942306250905,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,Brier,10,0.7917716291138704,0.1664412156216171,-0.6253304134922533,-0.6394341916500226,-0.6058139369750647,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,ECE,10,0.7917658447969071,0.1808589401682268,-0.6109069046286804,-0.6397417845841384,-0.5705108462327249,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,Log_Loss,10,12.612728760588617,0.5082931240764766,-12.10443563651214,-12.138986308085956,-12.05941103556576,0.0,0.001953125
CIFAR10_Bird_vs_Frog_ControlledImbalance,Prob_SD_All,10,0.0001565104606129,0.2582223027944564,0.2580657923338435,0.2247139467846204,0.2824773677756289,0.0,0.001953125
